dt, BIT 
01/12/2023 00:00, I 
01/12/2023 01:00, B 
01/12/2023 02:00, B 
01/12/2023 03:00, B 
01/12/2023 04:00, B 
01/12/2023 05:00, B 
01/12/2023 06:00, B 
01/12/2023 07:00, I 
01/12/2023 08:00, I 
01/12/2023 09:00, I 
01/12/2023 10:00, I 
01/12/2023 11:00, I 
01/12/2023 12:00, I 
01/12/2023 13:00, I 
01/12/2023 14:00, I 
01/12/2023 15:00, I 
01/12/2023 16:00, I 
01/12/2023 17:00, I 
01/12/2023 18:00, I 
01/12/2023 19:00, P 
01/12/2023 20:00, P 
01/12/2023 21:00, P 
01/12/2023 22:00, P 
01/12/2023 23:00, I 
02/12/2023 00:00, I 
02/12/2023 01:00, B 
02/12/2023 02:00, B 
02/12/2023 03:00, B 
02/12/2023 04:00, B 
02/12/2023 05:00, B 
02/12/2023 06:00, B 
02/12/2023 07:00, B 
02/12/2023 08:00, I 
02/12/2023 09:00, I 
02/12/2023 10:00, I 
02/12/2023 11:00, I 
02/12/2023 12:00, I 
02/12/2023 13:00, I 
02/12/2023 14:00, I 
02/12/2023 15:00, I 
02/12/2023 16:00, I 
02/12/2023 17:00, I 
02/12/2023 18:00, I 
02/12/2023 19:00, I 
02/12/2023 20:00, I 
02/12/2023 21:00, I 
02/12/2023 22:00, I 
02/12/2023 23:00, I 
03/12/2023 00:00, I 
03/12/2023 01:00, B 
03/12/2023 02:00, B 
03/12/2023 03:00, B 
03/12/2023 04:00, B 
03/12/2023 05:00, B 
03/12/2023 06:00, B 
03/12/2023 07:00, B 
03/12/2023 08:00, B 
03/12/2023 09:00, B 
03/12/2023 10:00, B 
03/12/2023 11:00, B 
03/12/2023 12:00, B 
03/12/2023 13:00, B 
03/12/2023 14:00, B 
03/12/2023 15:00, B 
03/12/2023 16:00, B 
03/12/2023 17:00, B 
03/12/2023 18:00, B 
03/12/2023 19:00, B 
03/12/2023 20:00, I 
03/12/2023 21:00, I 
03/12/2023 22:00, I 
03/12/2023 23:00, I 
04/12/2023 00:00, I 
04/12/2023 01:00, B 
04/12/2023 02:00, B 
04/12/2023 03:00, B 
04/12/2023 04:00, B 
04/12/2023 05:00, B 
04/12/2023 06:00, B 
04/12/2023 07:00, I 
04/12/2023 08:00, I 
04/12/2023 09:00, I 
04/12/2023 10:00, I 
04/12/2023 11:00, I 
04/12/2023 12:00, I 
04/12/2023 13:00, I 
04/12/2023 14:00, I 
04/12/2023 15:00, I 
04/12/2023 16:00, I 
04/12/2023 17:00, I 
04/12/2023 18:00, I 
04/12/2023 19:00, P 
04/12/2023 20:00, P 
04/12/2023 21:00, P 
04/12/2023 22:00, P 
04/12/2023 23:00, I 
05/12/2023 00:00, I 
05/12/2023 01:00, B 
05/12/2023 02:00, B 
05/12/2023 03:00, B 
05/12/2023 04:00, B 
05/12/2023 05:00, B 
05/12/2023 06:00, B 
05/12/2023 07:00, I 
05/12/2023 08:00, I 
05/12/2023 09:00, I 
05/12/2023 10:00, I 
05/12/2023 11:00, I 
05/12/2023 12:00, I 
05/12/2023 13:00, I 
05/12/2023 14:00, I 
05/12/2023 15:00, I 
05/12/2023 16:00, I 
05/12/2023 17:00, I 
05/12/2023 18:00, I 
05/12/2023 19:00, P 
05/12/2023 20:00, P 
05/12/2023 21:00, P 
05/12/2023 22:00, P 
05/12/2023 23:00, I 
06/12/2023 00:00, I 
06/12/2023 01:00, B 
06/12/2023 02:00, B 
06/12/2023 03:00, B 
06/12/2023 04:00, B 
06/12/2023 05:00, B 
06/12/2023 06:00, B 
06/12/2023 07:00, I 
06/12/2023 08:00, I 
06/12/2023 09:00, I 
06/12/2023 10:00, I 
06/12/2023 11:00, I 
06/12/2023 12:00, I 
06/12/2023 13:00, I 
06/12/2023 14:00, I 
06/12/2023 15:00, I 
06/12/2023 16:00, I 
06/12/2023 17:00, I 
06/12/2023 18:00, I 
06/12/2023 19:00, P 
06/12/2023 20:00, P 
06/12/2023 21:00, P 
06/12/2023 22:00, P 
06/12/2023 23:00, I 
07/12/2023 00:00, I 
07/12/2023 01:00, B 
07/12/2023 02:00, B 
07/12/2023 03:00, B 
07/12/2023 04:00, B 
07/12/2023 05:00, B 
07/12/2023 06:00, B 
07/12/2023 07:00, I 
07/12/2023 08:00, I 
07/12/2023 09:00, I 
07/12/2023 10:00, I 
07/12/2023 11:00, I 
07/12/2023 12:00, I 
07/12/2023 13:00, I 
07/12/2023 14:00, I 
07/12/2023 15:00, I 
07/12/2023 16:00, I 
07/12/2023 17:00, I 
07/12/2023 18:00, I 
07/12/2023 19:00, P 
07/12/2023 20:00, P 
07/12/2023 21:00, P 
07/12/2023 22:00, P 
07/12/2023 23:00, I 
08/12/2023 00:00, I 
08/12/2023 01:00, B 
08/12/2023 02:00, B 
08/12/2023 03:00, B 
08/12/2023 04:00, B 
08/12/2023 05:00, B 
08/12/2023 06:00, B 
08/12/2023 07:00, I 
08/12/2023 08:00, I 
08/12/2023 09:00, I 
08/12/2023 10:00, I 
08/12/2023 11:00, I 
08/12/2023 12:00, I 
08/12/2023 13:00, I 
08/12/2023 14:00, I 
08/12/2023 15:00, I 
08/12/2023 16:00, I 
08/12/2023 17:00, I 
08/12/2023 18:00, I 
08/12/2023 19:00, P 
08/12/2023 20:00, P 
08/12/2023 21:00, P 
08/12/2023 22:00, P 
08/12/2023 23:00, I 
09/12/2023 00:00, I 
09/12/2023 01:00, B 
09/12/2023 02:00, B 
09/12/2023 03:00, B 
09/12/2023 04:00, B 
09/12/2023 05:00, B 
09/12/2023 06:00, B 
09/12/2023 07:00, B 
09/12/2023 08:00, I 
09/12/2023 09:00, I 
09/12/2023 10:00, I 
09/12/2023 11:00, I 
09/12/2023 12:00, I 
09/12/2023 13:00, I 
09/12/2023 14:00, I 
09/12/2023 15:00, I 
09/12/2023 16:00, I 
09/12/2023 17:00, I 
09/12/2023 18:00, I 
09/12/2023 19:00, I 
09/12/2023 20:00, I 
09/12/2023 21:00, I 
09/12/2023 22:00, I 
09/12/2023 23:00, I 
10/12/2023 00:00, I 
10/12/2023 01:00, B 
10/12/2023 02:00, B 
10/12/2023 03:00, B 
10/12/2023 04:00, B 
10/12/2023 05:00, B 
10/12/2023 06:00, B 
10/12/2023 07:00, B 
10/12/2023 08:00, B 
10/12/2023 09:00, B 
10/12/2023 10:00, B 
10/12/2023 11:00, B 
10/12/2023 12:00, B 
10/12/2023 13:00, B 
10/12/2023 14:00, B 
10/12/2023 15:00, B 
10/12/2023 16:00, B 
10/12/2023 17:00, B 
10/12/2023 18:00, B 
10/12/2023 19:00, B 
10/12/2023 20:00, I 
10/12/2023 21:00, I 
10/12/2023 22:00, I 
10/12/2023 23:00, I 
11/12/2023 00:00, I 
11/12/2023 01:00, B 
11/12/2023 02:00, B 
11/12/2023 03:00, B 
11/12/2023 04:00, B 
11/12/2023 05:00, B 
11/12/2023 06:00, B 
11/12/2023 07:00, I 
11/12/2023 08:00, I 
11/12/2023 09:00, I 
11/12/2023 10:00, I 
11/12/2023 11:00, I 
11/12/2023 12:00, I 
11/12/2023 13:00, I 
11/12/2023 14:00, I 
11/12/2023 15:00, I 
11/12/2023 16:00, I 
11/12/2023 17:00, I 
11/12/2023 18:00, I 
11/12/2023 19:00, P 
11/12/2023 20:00, P 
11/12/2023 21:00, P 
11/12/2023 22:00, P 
11/12/2023 23:00, I 
12/12/2023 00:00, I 
12/12/2023 01:00, B 
12/12/2023 02:00, B 
12/12/2023 03:00, B 
12/12/2023 04:00, B 
12/12/2023 05:00, B 
12/12/2023 06:00, B 
12/12/2023 07:00, I 
12/12/2023 08:00, I 
12/12/2023 09:00, I 
12/12/2023 10:00, I 
12/12/2023 11:00, I 
12/12/2023 12:00, I 
12/12/2023 13:00, I 
12/12/2023 14:00, I 
12/12/2023 15:00, I 
12/12/2023 16:00, I 
12/12/2023 17:00, I 
12/12/2023 18:00, I 
12/12/2023 19:00, P 
12/12/2023 20:00, P 
12/12/2023 21:00, P 
12/12/2023 22:00, P 
12/12/2023 23:00, I 
13/12/2023 00:00, I 
13/12/2023 01:00, B 
13/12/2023 02:00, B 
13/12/2023 03:00, B 
13/12/2023 04:00, B 
13/12/2023 05:00, B 
13/12/2023 06:00, B 
13/12/2023 07:00, I 
13/12/2023 08:00, I 
13/12/2023 09:00, I 
13/12/2023 10:00, I 
13/12/2023 11:00, I 
13/12/2023 12:00, I 
13/12/2023 13:00, I 
13/12/2023 14:00, I 
13/12/2023 15:00, I 
13/12/2023 16:00, I 
13/12/2023 17:00, I 
13/12/2023 18:00, I 
13/12/2023 19:00, P 
13/12/2023 20:00, P 
13/12/2023 21:00, P 
13/12/2023 22:00, P 
13/12/2023 23:00, I 
14/12/2023 00:00, I 
14/12/2023 01:00, B 
14/12/2023 02:00, B 
14/12/2023 03:00, B 
14/12/2023 04:00, B 
14/12/2023 05:00, B 
14/12/2023 06:00, B 
14/12/2023 07:00, I 
14/12/2023 08:00, I 
14/12/2023 09:00, I 
14/12/2023 10:00, I 
14/12/2023 11:00, I 
14/12/2023 12:00, I 
14/12/2023 13:00, I 
14/12/2023 14:00, I 
14/12/2023 15:00, I 
14/12/2023 16:00, I 
14/12/2023 17:00, I 
14/12/2023 18:00, I 
14/12/2023 19:00, P 
14/12/2023 20:00, P 
14/12/2023 21:00, P 
14/12/2023 22:00, P 
14/12/2023 23:00, I 
15/12/2023 00:00, I 
15/12/2023 01:00, B 
15/12/2023 02:00, B 
15/12/2023 03:00, B 
15/12/2023 04:00, B 
15/12/2023 05:00, B 
15/12/2023 06:00, B 
15/12/2023 07:00, I 
15/12/2023 08:00, I 
15/12/2023 09:00, I 
15/12/2023 10:00, I 
15/12/2023 11:00, I 
15/12/2023 12:00, I 
15/12/2023 13:00, I 
15/12/2023 14:00, I 
15/12/2023 15:00, I 
15/12/2023 16:00, I 
15/12/2023 17:00, I 
15/12/2023 18:00, I 
15/12/2023 19:00, P 
15/12/2023 20:00, P 
15/12/2023 21:00, P 
15/12/2023 22:00, P 
15/12/2023 23:00, I 
16/12/2023 00:00, I 
16/12/2023 01:00, B 
16/12/2023 02:00, B 
16/12/2023 03:00, B 
16/12/2023 04:00, B 
16/12/2023 05:00, B 
16/12/2023 06:00, B 
16/12/2023 07:00, B 
16/12/2023 08:00, I 
16/12/2023 09:00, I 
16/12/2023 10:00, I 
16/12/2023 11:00, I 
16/12/2023 12:00, I 
16/12/2023 13:00, I 
16/12/2023 14:00, I 
16/12/2023 15:00, I 
16/12/2023 16:00, I 
16/12/2023 17:00, I 
16/12/2023 18:00, I 
16/12/2023 19:00, I 
16/12/2023 20:00, I 
16/12/2023 21:00, I 
16/12/2023 22:00, I 
16/12/2023 23:00, I 
17/12/2023 00:00, I 
17/12/2023 01:00, B 
17/12/2023 02:00, B 
17/12/2023 03:00, B 
17/12/2023 04:00, B 
17/12/2023 05:00, B 
17/12/2023 06:00, B 
17/12/2023 07:00, B 
17/12/2023 08:00, B 
17/12/2023 09:00, B 
17/12/2023 10:00, B 
17/12/2023 11:00, B 
17/12/2023 12:00, B 
17/12/2023 13:00, B 
17/12/2023 14:00, B 
17/12/2023 15:00, B 
17/12/2023 16:00, B 
17/12/2023 17:00, B 
17/12/2023 18:00, B 
17/12/2023 19:00, B 
17/12/2023 20:00, I 
17/12/2023 21:00, I 
17/12/2023 22:00, I 
17/12/2023 23:00, I 
18/12/2023 00:00, I 
18/12/2023 01:00, B 
18/12/2023 02:00, B 
18/12/2023 03:00, B 
18/12/2023 04:00, B 
18/12/2023 05:00, B 
18/12/2023 06:00, B 
18/12/2023 07:00, I 
18/12/2023 08:00, I 
18/12/2023 09:00, I 
18/12/2023 10:00, I 
18/12/2023 11:00, I 
18/12/2023 12:00, I 
18/12/2023 13:00, I 
18/12/2023 14:00, I 
18/12/2023 15:00, I 
18/12/2023 16:00, I 
18/12/2023 17:00, I 
18/12/2023 18:00, I 
18/12/2023 19:00, P 
18/12/2023 20:00, P 
18/12/2023 21:00, P 
18/12/2023 22:00, P 
18/12/2023 23:00, I 
19/12/2023 00:00, I 
19/12/2023 01:00, B 
19/12/2023 02:00, B 
19/12/2023 03:00, B 
19/12/2023 04:00, B 
19/12/2023 05:00, B 
19/12/2023 06:00, B 
19/12/2023 07:00, I 
19/12/2023 08:00, I 
19/12/2023 09:00, I 
19/12/2023 10:00, I 
19/12/2023 11:00, I 
19/12/2023 12:00, I 
19/12/2023 13:00, I 
19/12/2023 14:00, I 
19/12/2023 15:00, I 
19/12/2023 16:00, I 
19/12/2023 17:00, I 
19/12/2023 18:00, I 
19/12/2023 19:00, P 
19/12/2023 20:00, P 
19/12/2023 21:00, P 
19/12/2023 22:00, P 
19/12/2023 23:00, I 
20/12/2023 00:00, I 
20/12/2023 01:00, B 
20/12/2023 02:00, B 
20/12/2023 03:00, B 
20/12/2023 04:00, B 
20/12/2023 05:00, B 
20/12/2023 06:00, B 
20/12/2023 07:00, I 
20/12/2023 08:00, I 
20/12/2023 09:00, I 
20/12/2023 10:00, I 
20/12/2023 11:00, I 
20/12/2023 12:00, I 
20/12/2023 13:00, I 
20/12/2023 14:00, I 
20/12/2023 15:00, I 
20/12/2023 16:00, I 
20/12/2023 17:00, I 
20/12/2023 18:00, I 
20/12/2023 19:00, P 
20/12/2023 20:00, P 
20/12/2023 21:00, P 
20/12/2023 22:00, P 
20/12/2023 23:00, I 
21/12/2023 00:00, I 
21/12/2023 01:00, B 
21/12/2023 02:00, B 
21/12/2023 03:00, B 
21/12/2023 04:00, B 
21/12/2023 05:00, B 
21/12/2023 06:00, B 
21/12/2023 07:00, I 
21/12/2023 08:00, I 
21/12/2023 09:00, I 
21/12/2023 10:00, I 
21/12/2023 11:00, I 
21/12/2023 12:00, I 
21/12/2023 13:00, I 
21/12/2023 14:00, I 
21/12/2023 15:00, I 
21/12/2023 16:00, I 
21/12/2023 17:00, I 
21/12/2023 18:00, I 
21/12/2023 19:00, P 
21/12/2023 20:00, P 
21/12/2023 21:00, P 
21/12/2023 22:00, P 
21/12/2023 23:00, I 
22/12/2023 00:00, I 
22/12/2023 01:00, B 
22/12/2023 02:00, B 
22/12/2023 03:00, B 
22/12/2023 04:00, B 
22/12/2023 05:00, B 
22/12/2023 06:00, B 
22/12/2023 07:00, I 
22/12/2023 08:00, I 
22/12/2023 09:00, I 
22/12/2023 10:00, I 
22/12/2023 11:00, I 
22/12/2023 12:00, I 
22/12/2023 13:00, I 
22/12/2023 14:00, I 
22/12/2023 15:00, I 
22/12/2023 16:00, I 
22/12/2023 17:00, I 
22/12/2023 18:00, I 
22/12/2023 19:00, P 
22/12/2023 20:00, P 
22/12/2023 21:00, P 
22/12/2023 22:00, P 
22/12/2023 23:00, I 
23/12/2023 00:00, I 
23/12/2023 01:00, B 
23/12/2023 02:00, B 
23/12/2023 03:00, B 
23/12/2023 04:00, B 
23/12/2023 05:00, B 
23/12/2023 06:00, B 
23/12/2023 07:00, B 
23/12/2023 08:00, I 
23/12/2023 09:00, I 
23/12/2023 10:00, I 
23/12/2023 11:00, I 
23/12/2023 12:00, I 
23/12/2023 13:00, I 
23/12/2023 14:00, I 
23/12/2023 15:00, I 
23/12/2023 16:00, I 
23/12/2023 17:00, I 
23/12/2023 18:00, I 
23/12/2023 19:00, I 
23/12/2023 20:00, I 
23/12/2023 21:00, I 
23/12/2023 22:00, I 
23/12/2023 23:00, I 
24/12/2023 00:00, I 
24/12/2023 01:00, B 
24/12/2023 02:00, B 
24/12/2023 03:00, B 
24/12/2023 04:00, B 
24/12/2023 05:00, B 
24/12/2023 06:00, B 
24/12/2023 07:00, B 
24/12/2023 08:00, B 
24/12/2023 09:00, B 
24/12/2023 10:00, B 
24/12/2023 11:00, B 
24/12/2023 12:00, B 
24/12/2023 13:00, B 
24/12/2023 14:00, B 
24/12/2023 15:00, B 
24/12/2023 16:00, B 
24/12/2023 17:00, B 
24/12/2023 18:00, B 
24/12/2023 19:00, B 
24/12/2023 20:00, I 
24/12/2023 21:00, I 
24/12/2023 22:00, I 
24/12/2023 23:00, I 
25/12/2023 00:00, I 
25/12/2023 01:00, B 
25/12/2023 02:00, B 
25/12/2023 03:00, B 
25/12/2023 04:00, B 
25/12/2023 05:00, B 
25/12/2023 06:00, B 
25/12/2023 07:00, I 
25/12/2023 08:00, I 
25/12/2023 09:00, I 
25/12/2023 10:00, I 
25/12/2023 11:00, I 
25/12/2023 12:00, I 
25/12/2023 13:00, I 
25/12/2023 14:00, I 
25/12/2023 15:00, I 
25/12/2023 16:00, I 
25/12/2023 17:00, I 
25/12/2023 18:00, I 
25/12/2023 19:00, P 
25/12/2023 20:00, P 
25/12/2023 21:00, P 
25/12/2023 22:00, P 
25/12/2023 23:00, I 
26/12/2023 00:00, I 
26/12/2023 01:00, B 
26/12/2023 02:00, B 
26/12/2023 03:00, B 
26/12/2023 04:00, B 
26/12/2023 05:00, B 
26/12/2023 06:00, B 
26/12/2023 07:00, I 
26/12/2023 08:00, I 
26/12/2023 09:00, I 
26/12/2023 10:00, I 
26/12/2023 11:00, I 
26/12/2023 12:00, I 
26/12/2023 13:00, I 
26/12/2023 14:00, I 
26/12/2023 15:00, I 
26/12/2023 16:00, I 
26/12/2023 17:00, I 
26/12/2023 18:00, I 
26/12/2023 19:00, P 
26/12/2023 20:00, P 
26/12/2023 21:00, P 
26/12/2023 22:00, P 
26/12/2023 23:00, I 
27/12/2023 00:00, I 
27/12/2023 01:00, B 
27/12/2023 02:00, B 
27/12/2023 03:00, B 
27/12/2023 04:00, B 
27/12/2023 05:00, B 
27/12/2023 06:00, B 
27/12/2023 07:00, I 
27/12/2023 08:00, I 
27/12/2023 09:00, I 
27/12/2023 10:00, I 
27/12/2023 11:00, I 
27/12/2023 12:00, I 
27/12/2023 13:00, I 
27/12/2023 14:00, I 
27/12/2023 15:00, I 
27/12/2023 16:00, I 
27/12/2023 17:00, I 
27/12/2023 18:00, I 
27/12/2023 19:00, P 
27/12/2023 20:00, P 
27/12/2023 21:00, P 
27/12/2023 22:00, P 
27/12/2023 23:00, I 
28/12/2023 00:00, I 
28/12/2023 01:00, B 
28/12/2023 02:00, B 
28/12/2023 03:00, B 
28/12/2023 04:00, B 
28/12/2023 05:00, B 
28/12/2023 06:00, B 
28/12/2023 07:00, I 
28/12/2023 08:00, I 
28/12/2023 09:00, I 
28/12/2023 10:00, I 
28/12/2023 11:00, I 
28/12/2023 12:00, I 
28/12/2023 13:00, I 
28/12/2023 14:00, I 
28/12/2023 15:00, I 
28/12/2023 16:00, I 
28/12/2023 17:00, I 
28/12/2023 18:00, I 
28/12/2023 19:00, P 
28/12/2023 20:00, P 
28/12/2023 21:00, P 
28/12/2023 22:00, P 
28/12/2023 23:00, I 
29/12/2023 00:00, I 
29/12/2023 01:00, B 
29/12/2023 02:00, B 
29/12/2023 03:00, B 
29/12/2023 04:00, B 
29/12/2023 05:00, B 
29/12/2023 06:00, B 
29/12/2023 07:00, I 
29/12/2023 08:00, I 
29/12/2023 09:00, I 
29/12/2023 10:00, I 
29/12/2023 11:00, I 
29/12/2023 12:00, I 
29/12/2023 13:00, I 
29/12/2023 14:00, I 
29/12/2023 15:00, I 
29/12/2023 16:00, I 
29/12/2023 17:00, I 
29/12/2023 18:00, I 
29/12/2023 19:00, P 
29/12/2023 20:00, P 
29/12/2023 21:00, P 
29/12/2023 22:00, P 
29/12/2023 23:00, I 
30/12/2023 00:00, I 
30/12/2023 01:00, B 
30/12/2023 02:00, B 
30/12/2023 03:00, B 
30/12/2023 04:00, B 
30/12/2023 05:00, B 
30/12/2023 06:00, B 
30/12/2023 07:00, B 
30/12/2023 08:00, I 
30/12/2023 09:00, I 
30/12/2023 10:00, I 
30/12/2023 11:00, I 
30/12/2023 12:00, I 
30/12/2023 13:00, I 
30/12/2023 14:00, I 
30/12/2023 15:00, I 
30/12/2023 16:00, I 
30/12/2023 17:00, I 
30/12/2023 18:00, I 
30/12/2023 19:00, I 
30/12/2023 20:00, I 
30/12/2023 21:00, I 
30/12/2023 22:00, I 
30/12/2023 23:00, I 
31/12/2023 00:00, I 
31/12/2023 01:00, B 
31/12/2023 02:00, B 
31/12/2023 03:00, B 
31/12/2023 04:00, B 
31/12/2023 05:00, B 
31/12/2023 06:00, B 
31/12/2023 07:00, B 
31/12/2023 08:00, B 
31/12/2023 09:00, B 
31/12/2023 10:00, B 
31/12/2023 11:00, B 
31/12/2023 12:00, B 
31/12/2023 13:00, B 
31/12/2023 14:00, B 
31/12/2023 15:00, B 
31/12/2023 16:00, B 
31/12/2023 17:00, B 
31/12/2023 18:00, B 
31/12/2023 19:00, B 
31/12/2023 20:00, I 
31/12/2023 21:00, I 
31/12/2023 22:00, I 
31/12/2023 23:00, I 
